"(M, N)",RMSE,[Coefficients],[Predicted Values]
"(2, 6)",216.44525713041784,"[-0.006952520139342909, 0.02324023972770324, 0.03893865201317859, 0.0540530316923762, 0.05305762412273053, -0.020297379882126543, -0.1932921448925946, 1.1380857343105812]","[1908.8129308043563, 1903.0390981735993, 1848.419272246655, 1754.5538287930756, 1496.9022696982897, 1743.5654400920516, 1483.4663711673281, 1368.7684394150365, 1207.202998217593, 1075.6727019780337, 1126.3268703911003, 1023.4063262299942, 1045.3021086203257, 1003.7879109566095, 980.820281997558, 997.6437257819828, 1112.4825306525847, 1155.5972308272144, 1093.038560730364]"
"(2, 7)",219.52078743737314,"[0.013248956500881138, -0.0102808433361414, 0.023004625702933677, 0.03970124764857633, 0.05273299661442615, 0.05304686355474869, -0.01932513522876292, -0.19688038838676952, 1.1388456231761594]","[1902.1673084943438, 1840.5609573109791, 1745.702297776095, 1492.3406497442504, 1735.3913889074495, 1480.3486471829128, 1368.9588390949266, 1203.8673195178799, 1072.7276161054544, 1153.9706790319206, 1017.2053854554654, 1045.432389455019, 996.1573318106242, 975.1957113433124, 993.6225467326619, 1104.7284897274844, 1163.5093627706551, 1087.9106583008236]"
"(3, 0)",250.1800333495902,"[-0.11503065738033608, -0.012897352432040543, 1.1239758234366684]","[2095.3300448925315, 1883.8729108634352, 2016.5303666501707, 2017.1965766380738, 1920.2600059499348, 1809.8913317054607, 1556.8109209204417, 1620.9019340161665, 1434.820193706625, 1313.055007107259, 1220.393410895962, 1168.724490119451, 1202.6762349159808, 1132.672607354138, 1061.677543776217, 1015.2244489804696, 1026.3602474775303, 1042.0738400428008, 1167.4979641236782, 1233.5807099645035, 1176.0754807255212]"
"(3, 1)",231.13768519237786,"[0.04937107283702859, -0.14476540776890173, 0.07191047540908196, 1.0441933905791416]","[2045.6476073859346, 1851.902955166167, 1984.0799690257732, 1996.8893037517396, 1900.9947747554143, 1807.6998212499577, 1650.8838392437376, 1571.194921275582, 1430.6299659268584, 1275.299172312807, 1187.4854047581152, 1144.7347569282988, 1175.3144607757727, 1158.5059684530856, 1036.7544503247234, 986.0374651555649, 1019.3074237324436, 1026.1401860871536, 1128.491422036284, 1203.8754107212114, 1151.324681818462]"
"(3, 2)",235.42865909839605,"[0.08740388647805125, -0.00895110180703082, -0.031707120482311696, -0.10514005646363139, 1.0995176582282549]","[2020.826272620875, 1822.578264863441, 1963.8387195374341, 1982.2375037052911, 1889.479754269157, 1784.2310797699301, 1550.9454203549817, 1798.0937512284922, 1370.9880606138727, 1312.3526517068183, 1172.5378814265841, 1121.1660174748185, 1168.9015869613343, 1085.9197464906504, 1111.9113398681384, 980.200966011148, 977.4012836711336, 1034.027334929862, 1141.3364840283061, 1169.2297346478435, 1125.1241936864462]"
"(3, 3)",228.7007241277588,"[0.07173423698418649, 0.0573778635794316, -0.02041477369522974, -0.017883434249478386, -0.15188156263853209, 1.1214314078973526]","[1998.9327509856596, 1782.6310276187257, 1943.9984482636935, 1940.0591462442603, 1886.9639278402997, 1772.1324022843094, 1508.9069920234706, 1765.6960599059319, 1521.5850931180607, 1284.4550479315683, 1188.4317906349356, 1100.9781407279634, 1144.4120345546305, 1062.2797393850788, 1074.7940040208412, 1039.7010225222837, 963.936876048987, 1000.048865140715, 1154.7445763434991, 1172.378522461287, 1101.5924928590853]"
"(3, 4)",224.0692722375017,"[0.05316337488008475, 0.05320583474199742, 0.047148620439177856, -0.01791954051202764, -0.02524793953833243, -0.17911648275008563, 1.1480245997035796]","[2002.4259711937066, 1756.0170382770611, 1918.4095409526367, 1917.6855464028874, 1854.0472006961584, 1767.8954049958159, 1497.6070386616097, 1733.4966763547295, 1495.9064838443842, 1392.14035104872, 1162.4516115005035, 1108.0699885106474, 1125.719786324762, 1040.2288613534647, 1051.7375200309248, 1010.834981344384, 1005.5877053997729, 985.2939863539431, 1129.417667306141, 1179.1628706728916, 1098.7564732537053]"
"(3, 5)",208.37481702797186,"[0.030109524046554273, 0.0403095263683918, 0.05357647437409095, 0.05035438642885499, -0.01876689164358697, -0.033133073841475236, -0.1716731143657424, 1.144270868597683]","[1752.7665350629934, 1899.3851127277467, 1897.2805597268975, 1838.785832838246, 1745.8865353440099, 1492.177526702199, 1731.6250700856626, 1485.337539784413, 1368.1762575774994, 1221.4416306841172, 1086.5767418275275, 1123.6475592899653, 1023.2673997074922, 1035.514593931553, 998.1051379636593, 980.287398644328, 1002.056307116085, 1116.7771378591665, 1156.4975851817958, 1093.6434101401878]"
"(3, 6)",214.62010850014292,"[-0.0057714195023486955, 0.024704104765064603, 0.03882614764769067, 0.05373894298168301, 0.0512030730190908, -0.018553307729065063, -0.04161912766548009, -0.13672943871033993, 1.12009603034504]","[1897.9575015705518, 1905.489677988854, 1846.6861198421188, 1751.9207954126773, 1499.039168580673, 1728.7156705902287, 1488.892485099534, 1362.9991362304877, 1209.0828045508265, 1075.9906454662878, 1124.6272790794578, 1027.665990541803, 1042.0138877940287, 1002.3946355787589, 980.6883969161877, 999.7442605268282, 1112.2534457178785, 1159.6410758590957, 1097.118081826408]"
"(3, 7)",218.13115743724168,"[0.012542605732208438, -0.00881413375266266, 0.02439165241462838, 0.03954651696993856, 0.052505271711899885, 0.05136566098799138, -0.017777918994122496, -0.03756133542714188, -0.14584395782310822, 1.1227524919933676]","[1904.317242330809, 1839.2794818113443, 1743.705710621652, 1494.465899055525, 1722.4599602726491, 1485.3822708065914, 1363.7466745376391, 1205.9362745322887, 1073.6300696444969, 1150.904432899998, 1021.3877189093535, 1042.3212146111373, 995.176741766493, 975.3183971869402, 995.72852164864, 1105.0853759927777, 1166.6487303263075, 1091.7683471851303]"
"(4, 0)",235.3778496011813,"[0.0946887625236445, -0.2223593831663812, -0.020485586640508147, 1.1529244541183359]","[1889.6153376628336, 2016.6288708516702, 2034.3814392347754, 1904.0805728526118, 1804.0015916675072, 1551.1641809040375, 1622.0431246696542, 1445.7075676751515, 1295.4283681238103, 1225.0408505030018, 1165.9551660867785, 1201.9149023788073, 1126.2707150363055, 1046.4656422659905, 1008.1619749291668, 1019.9719879416145, 1035.3117577674448, 1158.9480988357761, 1225.2649366723313, 1154.9992101247233]"
"(4, 1)",218.78568697715542,"[0.049543621824785326, 0.10334882499517728, -0.2631382810731108, 0.06599524000188814, 1.0743897914408467]","[1858.630074150776, 1984.1378182885185, 2016.1211685879632, 1883.7333768906597, 1801.708147242277, 1645.6313173126382, 1572.4283319273761, 1443.2260270816482, 1256.3340885000807, 1192.9569279640791, 1142.1132645749337, 1174.847214193242, 1152.2489689053443, 1020.6116445009886, 978.7775084456714, 1012.8255752991549, 1019.2704934000526, 1119.4795133860257, 1195.304921671935, 1128.8880813906253]"
"(4, 2)",225.0914992102455,"[0.08730958513379072, -0.008958470059499827, 0.01824491677997471, -0.042912464817935786, -0.1241312851003554, 1.1146774248539535]","[1818.9065447132793, 1963.3838297273142, 1980.9502201154744, 1882.448790072232, 1779.3474430375575, 1544.8854432983812, 1796.7662307697458, 1366.9718502422757, 1305.5224661964867, 1169.1270472791805, 1116.570016990374, 1164.8964423227476, 1079.2869564933253, 1104.2814382143365, 974.2093469713132, 971.8455371503371, 1027.9232526332376, 1135.8528283253963, 1162.5252473311389, 1115.569786075503]"
"(4, 3)",219.8793687575924,"[0.0732780457237551, 0.05378931092386821, -0.01854262537295095, 0.09523876426088451, -0.13013459674866218, -0.15300885138482695, 1.1482111445314895]","[1788.7877086043645, 1944.28925101223, 1957.2040281335953, 1871.2516694944657, 1767.0067145018302, 1506.3440890496659, 1758.451943305229, 1538.2223782482156, 1265.0107994922569, 1194.166497092849, 1098.7767552762432, 1143.5336970408935, 1058.253631238087, 1056.4257417103793, 1034.323826278868, 958.9297129563784, 992.5517545236657, 1146.161168098689, 1165.5328965228473, 1081.096713369403]"
"(4, 4)",214.76652306158647,"[0.04926736832526772, 0.05727092842665257, 0.04307859602644835, -0.01585452803756026, 0.1141180542827833, -0.16259467018611085, -0.17252982468938166, 1.1749579555656182]","[1766.5859668535884, 1920.599108877595, 1940.9908546024574, 1838.9839930802837, 1763.273730141768, 1496.8295823771816, 1726.8141308838315, 1521.7794818783302, 1361.7201927799908, 1172.9399243716916, 1106.1302351814425, 1127.0939384870235, 1038.7801725706572, 1032.4353996489467, 1008.8346819222965, 997.968938503746, 978.6335325561586, 1122.4458530736665, 1172.3444169947447, 1076.0863042589294]"
"(4, 5)",208.143403034381,"[0.029128032569348025, 0.04241466247806934, 0.05800529461349688, 0.043804034655733806, -0.016473799868640525, 0.11033638407801016, -0.17594108387973545, -0.1516338185801316, 1.1641464755517754]","[1763.852117821702, 1899.4015835536368, 1921.339210675246, 1825.1430941704857, 1745.1020539608112, 1494.5642850086851, 1720.9040078601797, 1519.4684677989223, 1352.75622478351, 1231.811088014124, 1089.5534303337636, 1126.0979384940897, 1025.1054936647852, 1017.8774845281991, 1000.1697059765817, 982.0482738137742, 997.0477626098594, 1111.9476389520141, 1156.6300043528304, 1076.3261538056795]"
"(4, 6)",215.55788983258543,"[-0.011905768689410689, 0.024854788430904245, 0.04098073278046557, 0.05837663278716379, 0.044517094934618875, -0.016458772035331696, 0.12142848610349086, -0.19638881208194214, -0.11917203210711674, 1.1455855057542532]","[1899.3711263039654, 1935.5176029921788, 1835.9941420075972, 1753.893203970634, 1503.9891274948643, 1718.9098969491656, 1525.6901981702, 1346.9445994283385, 1221.3635500331516, 1066.5969846758433, 1130.7511049574364, 1029.1431690226227, 1026.1195146028708, 1007.6747807326346, 984.3137135834345, 997.4621680955078, 1103.7105096835403, 1162.075068083327, 1081.585593007744]"
"(4, 7)",219.1412619126325,"[0.009963367982075266, -0.013868670854294678, 0.02470893142435794, 0.04148190059285636, 0.05725662406651771, 0.04474756438277809, -0.015814411353016495, 0.11845920310962338, -0.190557448509803, -0.12548842624088957, 1.1467858221209182]","[1933.790085962153, 1830.1578427084446, 1747.1330224270675, 1500.2392741442686, 1713.8026506078618, 1522.1194095788833, 1347.7736886317919, 1218.852782958245, 1065.5163206470706, 1151.3558595113645, 1024.2491781883464, 1026.493726935251, 1001.6150761422341, 979.8850926719618, 994.3823575173326, 1098.4009977709059, 1167.589313682759, 1077.712925129522]"
